ts,iso_time,ph,o2,temp
1759808800078,2025-10-07T11:46:40.078000,7.1,7.63,26.4
1759808800108,2025-10-07T11:46:40.108000,7.1,7.63,26.4
1759808800116,2025-10-07T11:46:40.116000,7.1,7.63,26.4
1759808806556,2025-10-07T11:46:46.556000,7.1,7.65,26.4
1759808808391,2025-10-07T11:46:48.391000,7.1,7.65,26.4
1759808810076,2025-10-07T11:46:50.076000,7.1,7.65,26.4
1759808816563,2025-10-07T11:46:56.563000,7.1,7.66,26.4
1759809000077,2025-10-07T11:50:00.077000,7.1,7.64,26.4
1759809006580,2025-10-07T11:50:06.580000,7.1,7.65,26.4
1759809008382,2025-10-07T11:50:08.382000,7.1,7.65,26.4
1759809010072,2025-10-07T11:50:10.072000,7.1,7.65,26.4
1759809016603,2025-10-07T11:50:16.603000,7.1,7.66,26.4
1759809018447,2025-10-07T11:50:18.447000,7.1,7.66,26.4
1759809020088,2025-10-07T11:50:20.088000,7.1,7.66,26.4
1759809026583,2025-10-07T11:50:26.583000,7.1,7.66,26.4
1759809028388,2025-10-07T11:50:28.388000,7.1,7.66,26.4
1759809030100,2025-10-07T11:50:30.100000,7.1,7.66,26.4
1759809036563,2025-10-07T11:50:36.563000,7.1,7.65,26.4
1759809038374,2025-10-07T11:50:38.374000,7.1,7.65,26.4
1759809040065,2025-10-07T11:50:40.065000,7.1,7.65,26.4
1759809040099,2025-10-07T11:50:40.099000,7.1,7.65,26.4
1759809040100,2025-10-07T11:50:40.100000,7.1,7.65,26.4
1759809046564,2025-10-07T11:50:46.564000,7.1,7.64,26.4
1759809048386,2025-10-07T11:50:48.386000,7.1,7.64,26.4
1759809050091,2025-10-07T11:50:50.091000,7.1,7.64,26.4
1759809056574,2025-10-07T11:50:56.574000,7.1,7.63,26.4
1759809058392,2025-10-07T11:50:58.392000,7.1,7.63,26.4
1759809060076,2025-10-07T11:51:00.076000,7.1,7.63,26.4
1759809066577,2025-10-07T11:51:06.577000,7.1,7.64,26.4
